0
Y144 - Y160
Y256 - Y384
X88 - X184
Y264 - Y388
Y380 - Y384
X92 - X316
Y24 - Y160
Y356 - Y388
Y300 - Y368
Y104 - Y316
X92 - X404
X192 - X436
X8 - X464
Y76 - Y184
Y68 - Y160
X8 - X348
X0 - X20
X204 - X408
Y176 - Y208
Y84 - Y180
Y148 - Y208
Y192 - Y208
X84 - X316
X48 - X240
Y16 - Y92
Y128 - Y200
Y72 - Y240
Y108 - Y388
Y260 - Y388
Y384 - Y452
Y320 - Y364
Y292 - Y316
X20 - X96
Y343
X12 - X40
Y140 - Y412
X76 - X88
X188 - X240
X4 - X336
Y407
Y76 - Y180
Y449
Y140 - Y208
X208 - X332
Y52 - Y424
X192 - X352
Y224 - Y428
X136 - X416
Y36 - Y84
Y200 - Y212
Y68 - Y136
X328 - X460
Y204 - Y208
Y180 - Y396
Y12 - Y180
Y68 - Y404
Y24 - Y204
Y32 - Y160
Y208 - Y272
X8 - X452
Y108 - Y168
Y224 - Y460
X36 - X420
Y52 - Y392
Y120 - Y160
X212 - X304
X200 - X292
Y184 - Y428
Y116 - Y200
Y16 - Y268
X92 - X304
X116 - X348
Y8 - Y168
Y100 - Y316
X320 - X392
Y20 - Y240
Y120 - Y204
X76 - X80
Y140 - Y176
Y56 - Y244
X268 - X436
Y52 - Y420
X276 - X348
X124 - X168
X76 - X184
X200 - X204
Y280 - Y336
Y84 - Y92
Y52 - Y204
Y12 - Y424
Y384 - Y428
Y200 - Y272
X20 - X420
Y40 - Y48
Y364 - Y408
Y32 - Y204
Y132 - Y148
X76 - X212
X72 - X304
X20 - X280
X20 - X72
Y116 - Y284
X44 - X60
X72 - X316
X272 - X436
Y36 - Y268
Y100 - Y180
Y112 - Y148
Y144 - Y296
Y12 - Y328
X168 - X336
X252 - X344
Y124 - Y320
X136 - X280
X428 - X432
X4 - X164
X136 - X276
Y144 - Y304
X176 - X432
X216 - X436
Y112 - Y192
X200 - X208
Y200 - Y384
X236 - X240
Y12 - Y248
Y356 - Y380
X176 - X292
X236 - X384
X100 - X340
X292 - X408
Y228 - Y316
X32 - X200
X260 - X264
Y16 - Y364
X40 - X48
X36 - X216
Y160 - Y228
X44 - X240
Y16 - Y312
Y268 - Y408
X20 - X456
Y268 - Y316
Y28 - Y112
X40 - X184
Y268 - Y456
Y176 - Y396
X4 - X12
Y0 - Y272
Y304 - Y364
Y0 - Y364
Y72 - Y76
Y20 - Y248
X40 - X80
Y108 - Y352
Y68 - Y376
Y68 - Y352
X260 - X388
Y352 - Y356
Y212 - Y396
Y52 - Y56
X168 - X256
Y0 - Y400
Y276 - Y368
Y180 - Y308
Y300 - Y388
Y24 - Y296
Y428 - Y464
Y80 - Y192
Y12 - Y84
Y72 - Y432
X140 - X444
Y292 - Y408
Y40 - Y324
X176 - X396
Y272 - Y424
Y316 - Y364
Y92 - Y184
Y104 - Y128
X304 - X320
Y228 - Y444
X308 - X424
Y32 - Y140
Y304 - Y424
X164 - X312
X248 - X420
Y12 - Y16
Y72 - Y400
X220 - X252
X76 - X204
X120 - X380
X312 - X316
X0 - X392
X296 - X328
Y344 - Y420
X144 - X288
Y84 - Y436
Y372 - Y388
Y20 - Y60
X176 - X424
X108 - X160
Y16 - Y436
X72 - X80
Y116 - Y400
X184 - X200
Y96 - Y428
X344 - X452
Y104 - Y340
Y88 - Y184
X48 - X216
Y28 - Y376
Y272 - Y316
X92 - X128
Y76 - Y136
Y104 - Y464
X152 - X280
X364 - X408
X216 - X272
X168 - X380
Y196 - Y244
X48 - X168
X384 - X448
X100 - X336
Y180 - Y292
Y64 - Y416
X80 - X144
